Question,Answer
"Do I need a permit to study in Canada?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=478&top=15"")","Most foreign nationals need a study permit to study in Canada. Some people in specific situations may not. Learn more about who needs a study permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/eligibility.html"").
You should apply for a study permit before coming to Canada. Only some people can apply for a study permit from within Canada. Before you apply, you must have a letter of acceptance from a designated learning institution(""https://ircc.canada.ca/english/helpcentre/glossary.asp#designated_learning_institution"") in Canada.
How you can apply for a study permit depends on if you’re applying from outside Canada, inside Canada or at the port of entry. Find out what options are available for you(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/apply.html"").
Your study permit isn’t a travel document. Your permit lets you study in Canada, but you may also need a visitor visa (temporary resident visa) or an Electronic Travel Authorization(""https://ircc.canada.ca/english/helpcentre/glossary.asp#electronic_travel_authorization"") (eTA) to enter Canada. If we approve your study permit, we’ll also give you either a visitor visa or an eTA, depending on which document you need. This document will let you enter Canada."
"How do I apply for a study permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=479&top=15"")","You should apply for a study permit before coming to Canada. Make sure you have a letter of acceptance from a designated learning institution(""https://www.canada.ca/en/services/immigration-citizenship/helpcentre/glossary.html#designated_learning_institution"") in Canada before you apply.
You should apply online(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/apply.html"") for a study permit, whether you’re outside of Canada or already in Canada. If you can’t apply online because of a disability or because there’s a  problem with the online application(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=479&top=15#inline_content_modal""), you can apply on paper."
"When should I apply for my study permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=480&top=15"")","Apply as soon as you receive your letter of acceptance. The times needed to process your application may vary among visa offices. Check our application processing times(""https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html"") for details."
"How do I pay for a study permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=481&top=15"")","You must pay a processing fee with your application. For details, visit the Pay your fees page(""https://ircc.canada.ca/english/information/fees/index.asp"") to learn about the methods of payment accepted by Canadian visa offices."
"Will I get my money back if CIC turns down my study permit application?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=482&top=15"")","No, you will not get your money back, even if your application is refused."
"Can I apply for a study permit if I’m already in Canada?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=483&top=15"")","Yes. You can apply for a study permit while you’re in Canada. Find out what instructions you need to follow and what forms you need to use by telling us where you’re applying from(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/apply.html"").
Some people don’t need a study permit to study in Canada. If your class or program lasts less than 6 months, or you meet one of the other exceptions, you may not need to get one. Find out if you need a study permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/eligibility.html#don-t-need""). If you don’t need a study permit, you can enrol in your classes."
"I want to study in Canada for less than 6 months. Do I need a study permit?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=484&top=15"")","You don’t need a study permit for a course or study program that lasts 6 months or less. However, getting a study permit when you don’t need one has benefits(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/eligibility.html#why-study-permit"").
You still need a valid travel document (electronic travel authorization or visitor visa) to come to Canada. You must get a study permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/apply.html"") if you want to study for longer than 6 months."
"How long will it take to process my study permit application?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=486&top=15"")","Processing times vary. It depends on the type of application you submit, and where it is processed. IRCC lists processing times(""https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html"") for applications submitted inside and outside Canada. We update this section regularly, so visit often to get the latest details."
"Do I need a medical exam to study in Canada?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=489&top=15"")","Yes, you need a medical exam to study in Canada if you’ll be here for more than 6 months and at least one of these applies to you:
You have lived in or travelled to 1 or more designated countries or territories(""https://www.canada.ca/en/immigration-refugees-citizenship/services/application/medical-police/medical-exams/requirements-temporary-residents/country-requirements.html"") for 6 months or more in a row in the year before you come to Canada.
You are a medical student or you will work in jobs in which public health must be protected(""https://www.canada.ca/en/immigration-refugees-citizenship/services/application/medical-police/medical-exams/requirements-temporary-residents.html#jobs-med"") such as
health care
fields that brings you into close contact with children, the elderly or those in poor health"
"What is a port of entry (POE) letter?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=845&top=15"")","It’s a letter you may receive from IRCC if you’ve been approved for a
study permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit.html"")
work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit.html"") or
super visa(""https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/parent-grandparent-super-visa.html"") (if you’re from a country that doesn’t require a visitor visa)
Officially, it’s called the port of entry (POE) letter of introduction. But this letter is sometimes called the
correspondence letter
introduction letter
introductory letter
The letter of introduction is not your study or work permit.
You’ll get this letter if you were approved and you
applied online or
gave us your email address in your study or work permit application
When you arrive in Canada
Tell the officer at the port of entry about your approved application.
If you don’t have a printed copy of your letter of introduction, you can show
an electronic version or
the visitor visa in your passport, if you have one"
"How long is my POE Letter valid?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=846&top=15"")","There is a box titled “Permit validity” on your Port of Entry (POE) Letter(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=845&top=25""). You must come to Canada prior to that date.
If the validity date has passed and you have not yet come to Canada, you must submit a new application.
You cannot extend the validity date on your POE Letter.
Your POE Letter will be valid for the requested length of your work permit, study permit or super visa. You may be eligible to extend your work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/extend-permit.html"") once you are in Canada.
International Experience Canada participants only
Your POE Letter will normally be valid for 12 months. If you underwent a medical exam, it will be valid until the expiry date of your medical exam or for 12 months, whichever is less.
You can only extend your International Experience Canada work permit in very specific situations. Find out if you can extend your work permit(""https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/iec/extend-change.html"")."
"There’s a strike at my designated learning institution, and I can’t start or continue my studies. What does that mean for my status as a study permit holder?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1367&top=15"")","This situation is beyond your control, and your status as a study permit holder should not be affected. As a result of the strike, you will
not face any penalty or enforcement action because you can’t pursue your studies during this time
be able to work off campus(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/work-off-campus.html#who-can"") for up to 24 hours per week if your study permit allows you to work (and also work full-time during regular breaks such as winter holidays and reading week)
still be eligible for the Post-Graduation Work Permit Program(""https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation.html""), if applicable
You must continue to have valid status as a student in Canada to be able to return to class after the labour dispute is resolved. If you need to apply to extend your study permit during the strike, include a letter from the registrar of your designated learning institution that confirms that the strike has stopped you from attending school and pursuing your studies."
"What do I do if the school I’m studying at loses its designated learning institution status?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1632&top=15"")","If the learning institution you’re studying at is de-designated while you’re studying there, you can keep studying until your current study permit expires. However, you won’t be able to extend your permit unless you’re enrolled at a designated learning institution (DLI).
If you’ve deferred your enrolment
If you’ve deferred your enrolment and the learning institution that issued your letter of acceptance is de-designated before you start studying, you cannot start studying at that school.
If you’re in Canada with a valid study permit
You’ll need to
apply to and be accepted at a new DLI
update the information about your learning institution in MyAccount
If your study permit has been approved but not issued yet
We’ll send you a request to provide a new letter of acceptance from a new DLI. If your study permit is approved, you’ll need to update the information about your learning institution in MyAccount."
"Can a lone parent apply for a study permit for a minor child?(""https://ircc.canada.ca/english/helpcentre/answer.asp?qnum=1654&top=15"")","Lone parents applying for a minor child’s study permit may need to provide extra documents with the child’s study permit application. 
Sole Custody:
If you are no longer in a relationship with the other parent and have sole custody of your child, we need a document that shows proof of parentage and that proves your decision-making authority.
You must provide
the parent or adoptive parent’s signed government-issued identification
the child’s birth certificate with the name of the parent(s)
if applicable, the court-issued adoption order that has the name of the adoptive parent(s) and
any other legal document that confirms the parent-child relationship
You must also provide all documents that refer to the child’s custody, mobility and access. You must provide 1 of the following:
the court order
another legal document issued by the relevant authorities showing this parent has sole custody

Joint Custody:
If you and your child’s other parent share decision-making authority, both parents must participate in the study permit application.
You must provide
a signed consent letter from the non-accompanying parent (certified by a notary(""https://canada.ca/en/services/immigration-citizenship/helpcentre/glossary.html#notarypublic""))
a signed piece of government-issued identification from the non-accompanying parent
a document that establishes proof of parentage
This must include
both parents’ or adoptive parents’ signed, government-issued identification
the child’s birth certificate with the names of both parents
if applicable, the court-issued adoption order that has the names of both adoptive parents and
any other legal document that confirms the parent-child relationship

You don’t know where the other parent is:
If you don’t know where the other parent is and you don’t have sole custody of your child, you must provide
a legal document declaring the parent has sole authority of the child
the parent or adoptive parent’s signed, government-issued identification
the child’s birth certificate with the names of the parent(s)
if applicable, the court-issued adoption order that has the name of the adoptive parent(s) and
any other legal document that confirms the parent-child relationship


If the other parent is deceased:
If the other parent is deceased, you must provide
the death certificate of the other parent
the parent or adoptive parent’s signed government-issued identification
the child’s birth certificate with the names of both parents
if applicable, the court-issued adoption order that has the name of both adoptive parents and
any other legal document that confirms the parent-child relation"
